city,state,type,att,att_in,att_pos,resi_all_abs,resi_in_abs,resi_after_abs,extreme,,,,
Anhui,Anhui,2,1.743,0.638,3.992,0.901,0.963,0.371,0.804,,1743,638,3992
Beijing,Beijing,2,0.02,0.021,0.019,0.986,0.988,0.971,0.992,,20,21,19
Beijing 1,Beijing,3,-1.498,-1.787,-0.905,0.484,0.261,0.521,0.465,,1498,1787,905
Beijing 2,Beijing,4,0.667,0.669,0.662,0.41,0.389,0.433,0.488,,667,669,662
Beijing 3,Beijing,1,-0.687,-0.897,-0.261,0.783,0.719,0.655,0.291,,687,897,261
Chengdu,Sichuan,2,0.202,0.117,0.391,0.719,0.699,0.254,0.739,,202,117,391
Chengdu 1,Sichuan,3,-1.511,-1.371,-1.813,0.528,0.347,0.386,0.266,,1511,1371,1813
Chongqing,Chongqing,1,0.213,-0.474,1.628,0.712,0.703,0.222,0.728,,213,474,1628
Chongqing 1,Chongqing,2,0.179,0.002,0.529,0.93,0.99,0.512,0.765,,179,2,529
Dalian,Liaoning,3,-0.496,-0.312,-0.859,0.762,0.64,0.447,0.559,,496,312,859
Dalian 1,Liaoning,2,-0.046,-0.019,-0.098,0.915,0.946,0.75,0.911,,46,19,98
Fujian,Fujian,3,-1.321,-0.488,-3.05,0.706,0.834,0.153,0.313,,1321,488,3050
Fujian 1,Fujian,2,-0.033,-0.072,0.047,0.989,0.986,0.951,0.988,,33,72,47
Gansu,Gansu,2,0.224,0.151,0.387,0.927,0.905,0.893,0.667,,224,151,387
Gansu 1,Gansu,4,2.639,2.052,3.886,0.53,0.521,0.189,0.555,,2639,2052,3886
Guangxi,Guangxi,2,-0.024,-0.239,0.406,0.886,0.948,0.424,0.706,,24,239,406
Guangzhou,Guangdong,1,0.104,0.211,-0.098,0.884,0.738,0.8,0.156,,104,211,98
Guangzhou 1,Guangdong,3,-2.067,-1.98,-2.871,0.31,0.307,0.066,0.36,,2067,1980,2871
Guangzhou 2,Guangdong,3,-0.231,-0.172,-0.353,0.807,0.81,0.702,0.857,,231,172,353
Guiyang,Guizhou,4,0.685,0.686,0.685,0.223,0.148,0.084,0.359,,685,686,685
Guizhou,Guizhou,2,1.267,0.469,2.859,0.831,0.91,0.366,0.691,,1267,469,2859
Hainan,Heilongjiang,1,-0.512,-0.756,0.002,0.468,0.384,0.99,0.368,,512,756,2
Haerbin,Heilongjiang,3,-0.143,-0.131,-0.165,0.819,0.685,0.504,0.656,,143,131,165
Haerbin 1,Hainan,4,0.116,0.117,0.113,0.611,0.672,0.303,0.76,,116,117,113
Hangzhou,Zhejiang,2,0,0,0,1,1,1,1,,0,0,0
Hangzhou 1,Zhejiang,2,-0.12,-0.062,-0.242,0.842,0.911,0.623,0.768,,120,62,242
Hebei,Hebei,2,0.338,0.348,0.307,0.94,0.935,0.924,0.942,,338,348,307
Heilongjiang,Heilongjiang,4,0.5,0.124,1.215,0.562,0.826,0.202,0.224,,500,124,1215
Heilongjiang 1,Heilongjiang,2,0.657,0.497,0.99,0.901,0.926,0.568,0.834,,657,497,990
