date,year,city,state,used,type,city_cn,state_cn,pre_lag,pos_lag,number_confirm,number_infect,Economy,Power,Indus,Pop,Trans-P,Trans-C
8月25日至9月19日,2022,Chengdu 1,Sichuan,1,,成都,四川,60,30,766,,20800-56700,725.43-3274.8,6404-21157,2126.8-8400,2126.8-8400,32256.3-172300
1月2日至2月21日,2021,Shijiazhuang 1,Hebei,1,2,石家庄,河北,60,30,868,,7100.6-42400,500.46-4344,2334.1-17050.1,1122.4-7420,1122.4-7420,51000-241000
5月21日至6月26日,2021,Guangzhou 2,Guangdong,1,,广州,广东,60,30,167,,28800-129100,1118.76-7870.34,7909.2-52843.5,1873.4-12700,1873.4-12700,95600-353700
1月26日至2月7日,2022,Hangzhou,Zhejiang,1,,杭州,浙江,60,30,114,,18800-77700,950-5799,5620-33205.2,1237.6-6577,100-100,100-100
4月19日至5月5日,2022,Hangzhou 1,Zhejiang,1,,杭州,浙江,60,30,180,,18800-77700,950-5799,5620-33205.2,1237.6-6577,100-100,100-100
4月13日至4月27日,2022,Taiyuan,Shanxi,1,,太原,山西,60,30,250,,5571.2-25642.59,340.48-2720.8,2466.1-13840.85,543.5-3481.4,100-100,100-100
3月10日至4月6日,2022,Nanjing 1,Jiangsu,1,,南京,江苏,60,30,104,,16400-117400,864-7399.5,5903-51776,949.1-8515,100-100,100-100
5月6日至5月28日,2022,Xining,Qinghai,1,,西宁,青海,60,30,172,,1644.3-3610.1,502.83-858,618.45-1585.7,248-595,100-100,100-100
10月3日至10月16日,2022,Haerbin 1,Heilongjiang,1,,哈尔滨,黑龙江,60,30,,106,5490.1-15900,254.8-1014.4,1285-4648.9,988.5-3099,988.5-3099,10272.5-62300
3月29日至4月30日,2022,Jinan,Shandong,1,?,济南,山东,60,30,,102,,475.3-7383,3964.06-33187.16,933.6-10200,100-100,100-100
12月5日至12月31日,2020,Zhejiang 1,Zhejiang,1,?,浙江,浙江,60,30,490,,100-100,100-100,100-100,100-100,100-100,100-100
5月9日至6月2日,2020,Wuhan 1,Hubei,1,,湖北,武汉,60,30,307,,"15616.06-43000, 17700-50010, 18900-53700",5484-17316,5557.47-15616.06,1373.9-5844,1373.9-5844,67089-214800
2月28日至3月31日,2022,Haerbin,Heilongjiang,1,2,哈尔滨,黑龙江,60,30,330,284,5490.1-15900,254.8-1014.4,1285-4648.9,988.5-3099,988.5-3099,10272.5-62300
8月20日至9月23日,2022,Heilongjiang,Heilongjiang,1,3,黑龙江,黑龙江,60,30,,>1800,100-100,100-100,100-100,100-100,100-100,100-100
8月12日至10月18日,2022,Qinghai,Qinghai,1,3,青海,青海,60,30,,1019,100-100,100-100,100-100,100-100,100-100,100-100
7月31日至9月10日,2022,Hainan,Hainan,1,1,海南,海南,30,15,8618,12088,100-100,100-100,100-100,100-100,100-100,100-100
1月22日至3月17日,2020,Guangxi,Guangxi,1,2,广西,广西,45,15,252,,100-100,100-100,100-100,100-100,100-100,100-100
1月22日至3月16日,2020,Guizhou,Guizhou,1,2,贵州,贵州,45,15,146,,100-100,100-100,100-100,100-100,100-100,100-100
1月15日至2月6日,2022,Beijing,Beijing,1,2,北京,北京,60,30,,118,100-100,100-100,100-100,100-100,100-100,100-100
3月31日至6月1日,2022,Beijing 1,Beijing,1,1,北京,北京,60,30,,2000以上,100-100,100-100,100-100,100-100,100-100,100-100
4月8日至4月25日,2022,Guangzhou,Guangdong,1,2,广州,广东,60,30,281,,28800-129100,1118.76-7870.34,7909.2-52843.5,1873.4-12700,1873.4-12700,95600-353700
9月30日至12月22日,2022,Guangzhou 1,Guangdong,1,4,广州,广东,60,30,,">75,000",28800-129100,1118.76-7870.34,7909.2-52843.5,1873.4-12700,1873.4-12700,95600-353700
1月8日至1月21日,2022,Tianjin,Tianjin,1,2,天津,天津,60,30,>430,,100-100,100-100,100-100,100-100,100-100,100-100
2月24日至4月14日,2022,Tianjin 1,Tianjin,1,4,天津,天津,60,30,,831,100-100,100-100,100-100,100-100,100-100,100-100
5月15日至5月29日,2022,Tianjin 2,Tianjin,1,2,天津,天津,60,30,160,206,100-100,100-100,100-100,100-100,100-100,100-100
2月28日至4月27日,2022,Jilin,Jilin,1,1,吉林,吉林,60,30,,<77324,100-100,100-100,100-100,100-100,100-100,100-100
2月15日至4月5日,2022,Huhehaote,Inner Mongolia,1,3,呼和浩特,内蒙古,60,30,436,,3329.1-23200,390-3900.5,1155.8-11242,355.1-2401.2,355.1-2401.2,11121-109000
9月28日至11月7日,2022,Huhehaote 1,Inner Mongolia,1,4,呼和浩特,内蒙古,60,30,572,1765,3329.1-23200,390-3900.5,1155.8-11242,355.1-2401.2,355.1-2401.2,11121-109000
2月27日至6月1日,2022,Shanghai,Shanghai,1,1,上海,上海,60,30,58137,568973,100-100,100-100,100-100,100-100,100-100,100-100
7月30日至8月30日,2022,Xinjiang,Xinjiang,1,2,新疆,新疆,60,30,>153,>5460,100-100,100-100,100-100,100-100,100-100,100-100
7月8日至8月14日,2022,Gansu,Gansu,1,3,甘肃,甘肃,60,30,650,4492,100-100,100-100,100-100,100-100,100-100,100-100
10月30日至12月1日,2022,Chongqing,Chongqing,1,1,重庆,重庆,60,30,87143,,100-100,100-100,100-100,100-100,100-100,100-100
10月26日至12月1日,2022,Shijiazhuang,Hebei,1,2,石家庄,河北,60,30,,,7100.6-42400,500.46-4344,2334.1-17050.1,1122.4-7420,1122.4-7420,51000-241000
1月31日至4月1日,2022,Shenzhen,Guangdong,1,2,深圳,广东,60,30,1302,,"27800-111200, 30700-124700, 32400-129100",1073.82-7870.34,12405.9-52843.5,1766.2-12700,1766.2-12700,40893-364200
8月20日至11月11日,2022,Shenzhen 1,Guangdong,1,2,深圳,广东,60,30,,>1400,"27800-111200, 30700-124700, 32400-129100",1073.82-7870.34,12405.9-52843.5,1766.2-12700,1766.2-12700,40893-364200
3月5日至3月18日,2022,Xian,Shaanxi,1,2,西安,陕西,60,30,387,,"10700-30100, 11500-32800",531.11-2375.9,4071.5-15933.1,1299.6-3956,1299.6-3956,26832-164700
7月15日至8月3日,2022,Chengdu,Sichuan,1,2,成都,四川,60,30,>200,,20800-56700,725.43-3274.8,6404-21157,2126.8-8400,2126.8-8400,32256.3-172300
1月8日至1月27日,2022,Anyang,Henan,0,NA,安阳,河南,60,30,466,,2512.1-61300,215.1-3392,1101.6-25465,541.7-9872,541.7-9872,13000-193600
3月8日至4月2日,2022,Langfang,Hebei,0,NA,廊坊,河北,60,30,,2752,3565.3-42370,306.8-3934,1195.3-17050,549.5-7420,549.5-7420,4061.4-227000
3月13日至4月21日,2022,Quanzhou,Fujian,0,NA,泉州,福建,60,30,1117,,12100-53100,612.47-2836.6,6882-25078.2,887.9-4188,887.9-4188,36540.2-169100
3月16日至4月28日,2022,Nanchang,Jiangxi,1,?,南昌,江西,60,30,99,735,7203.5-32074,307.5-1983,3484.6-14359.6,653.8-4528,653.8-4528,16500-178400
3月19日至4月15日,2022,Tangshan,Hebei,0,NA,唐山,河北,60,30,31,664,8900.7-42370,868.6-3934,4927.7-17050,770.6-7420,770.6-7420,42995-211900
